work,genre,eps,scenes,s_per_ep,est_seq,seq_per_ep,persist,top,wave_agents,eps_per_agent,anchor
대장금,사극(궁중),54,3630,67.2,2178,40.3,0.323,CONFLICT679/PERIL483/ESTABLISH429,8,7,
역전의여왕,가족/로코,31,1875,60.5,1125,36.3,0.263,CONFLICT380/REVELATION268/LOSS175,8,4,
공주의남자,사극/멜로,24,1784,74.3,1070,44.6,0.252,CONFLICT309/PERIL296/LOSS179,8,3,
녹두꽃,사극(시대),24,1636,68.2,982,40.9,0.164,PERIL342/CONFLICT225/REVELATION185,8,3,
마왕,스릴러/미스터리,20,1585,79.2,951,47.5,0.178,CONFLICT242/PERIL231/REVELATION220,8,3,
최강칠우,사극/액션,20,1398,69.9,839,42.0,0.252,PERIL361/REVELATION170/CONFLICT155,8,3,
모래시계,시대극/느와르,24,1365,56.9,819,34.1,0.191,PERIL192/ESTABLISH178/CONFLICT164,8,3,
시티헌터,액션/로맨스,20,1365,68.2,819,41.0,0.171,CONFLICT241/PERIL203/REVELATION172,8,3,
싸인,수사/법의학,20,1358,67.9,815,40.8,0.233,ESTABLISH218/REVELATION202/CONFLICT172,8,3,
스카이캐슬,사회/블랙코미디,20,1353,67.7,812,40.6,0.277,CONFLICT307/REVELATION175/HOOK145,8,3,
하얀거탑,의학/정치,20,1304,65.2,782,39.1,0.317,CONFLICT296/DESIRE174/PERIL165,8,3,
미안하다사랑한다,멜로,16,1299,81.2,779,48.7,0.211,LOSS199/CONFLICT166/BOND154,8,2,
시그널,수사/타임슬립,16,1287,80.4,772,48.2,0.248,REVELATION343/PERIL224/CONFLICT161,8,2,
W,판타지/스릴러,16,1220,76.2,732,45.8,0.163,REVELATION262/PERIL223/HOOK132,8,2,
경성스캔들,시대극/로맨스,16,1187,74.2,712,44.5,0.245,CONFLICT209/PERIL132/LOSS121,8,2,
워킹맘,가족/일상,16,1161,72.6,697,43.6,0.259,CONFLICT217/DESIRE153/RELIEF129,8,2,
밀회,멜로,16,1144,71.5,686,42.9,0.381,CONFLICT288/BOND117/REVELATION107,8,2,
너의목소리가들려,로맨스/법정판타지,18,1080,60.0,648,36.0,0.142,REVELATION176/CONFLICT148/PERIL147,8,3,
카인과아벨,스릴러/가족,20,1080,54.0,648,32.4,0.184,PERIL202/CONFLICT180/REVELATION174,8,3,
비밀의숲,수사/스릴러,16,1037,64.8,622,38.9,0.205,CONFLICT152/ESTABLISH149/PERIL124,8,2,스릴러
스토브리그,스포츠/오피스,16,1003,62.7,602,37.6,0.277,CONFLICT202/REVELATION127/BOND112,8,2,
배가본드,액션/스릴러,16,993,62.1,596,37.2,0.195,PERIL211/CONFLICT159/REVELATION142,8,2,
커피프린스,로코,17,949,55.8,569,33.5,0.309,BOND152/CONFLICT138/ROMANCE120,8,3,
도깨비,판타지/로맨스,16,900,56.2,540,33.8,0.159,ROMANCE115/DESIRE96/ESTABLISH95,8,2,
시크릿가든,로코/판타지,20,888,44.4,533,26.6,0.338,CONFLICT198/REVELATION135/BOND87,8,3,로맨스
추적자,정치/스릴러,16,884,55.2,530,33.1,0.224,CONFLICT143/PERIL116/REVELATION101,8,2,
개와늑대의시간,액션/느와르,16,880,55.0,528,33.0,0.195,PERIL139/ESTABLISH130/CONFLICT128,8,2,
태양의후예,밀리터리/멜로,16,852,53.2,511,31.9,0.174,PERIL121/RELIEF107/ROMANCE102,8,2,
그들이사는세상,직업/멜로,16,801,50.1,481,30.1,0.337,CONFLICT203/BOND86/LOSS76,8,2,
베토벤바이러스,음악/앙상블,17,748,44.0,449,26.4,0.313,CONFLICT169/BOND113/REVELATION105,8,3,앙상블
